threshold,score,feasible,precision,recall,f1,worst_group_sensitivity,macro_avg_fnr,fnr_gap,method,epsilon,clipping
0.03,1.164616002292988,False,0.3593611357586513,0.6153846153846154,0.4537497374133464,0.605475040257649,0.38514453668527115,0.018760846114159735,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.04,0.9523336998271161,False,0.3976433844406587,0.5320037986704653,0.45511414412218704,0.5177133655394525,0.46875928271031686,0.027054703500461186,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.05,0.7751061793751939,False,0.4244317195904911,0.46457739791073127,0.4435981138919115,0.4468599033816425,0.5363686818942202,0.0335428294482748,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.07,0.5346530750159708,False,0.46346063177746344,0.37340930674264006,0.41358998632586513,0.3526570048309179,0.627698825883714,0.039288338570736214,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.1,0.3113425610508358,False,0.49869451697127937,0.29021842355175687,0.3669107936126786,0.26811594202898553,0.7109618060441193,0.04184450385379046,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.12,0.20894903456075964,False,0.5161919625438939,0.2512820512820513,0.33801737353091466,0.23027375201288244,0.7498397511061082,0.039772993762018594,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.15,0.11894831145720075,False,0.5352968676951847,0.2174738841405508,0.3092922744462453,0.1972624798711755,0.7836053656019887,0.03826430905367162,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.18,0.04202245009512263,False,0.5420258620689655,0.19107312440645774,0.28254458643448954,0.17028985507246377,0.8100366618201147,0.039346966214843015,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.2,0.010509085828734676,False,0.5451911935110081,0.17872744539411206,0.2692032613360034,0.15942028985507245,0.8223035192220502,0.03655238184575449,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.22,-0.017707667464752542,False,0.5565326633165829,0.16828110161443494,0.25842205045938454,0.14895330112721417,0.832750965401873,0.0365914669418258,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.25,-0.050788574539136246,False,0.5641729581331503,0.15612535612535614,0.2445700684320143,0.13727858293075684,0.8448810249675593,0.03568078420336751,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.3,-0.09276238056090075,False,0.5764611689351481,0.13675213675213677,0.2210623272950568,0.12278582930756844,0.8639936369463597,0.02644106749214392,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.35,-0.1403046258758609,False,0.5889513108614233,0.1194681861348528,0.19864203379125217,0.10628019323671498,0.8812360270781545,0.02496755937026085,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.4,-0.17432763558469433,False,0.6014799154334038,0.10807217473884141,0.1832233134760908,0.09420289855072464,0.8926684176789706,0.026257367540609478,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.45,-0.2132656384976125,False,0.6089049338146811,0.09610636277302943,0.16601049868766404,0.08091787439613526,0.9047046730140862,0.028754905179556922,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.5,-0.2445425144331126,False,0.6094594594594595,0.08566001899335232,0.15020815986677769,0.07085346215780998,0.9151306223910698,0.028031830902240373,DP-SGD MLP ε=1.0 [fixed],1.0,fixed
0.005,1.9260907770513782,False,0.22026117573650666,0.9386514719848054,0.356797343152119,0.9359903381642513,0.06149062739396213,0.005038068883573325,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.01,1.7516544329902217,True,0.26290669926081134,0.8579297245963913,0.4024770560456206,0.855475040257649,0.14220135078092022,0.004647217922861657,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.015,1.5730872883487734,True,0.2979199768886321,0.7834757834757835,0.43168855632881586,0.7769726247987118,0.21687147257007958,0.012311805262417319,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.02,1.4224338007972128,True,0.32322885358522974,0.7149097815764482,0.4451803666469545,0.712157809983897,0.28523716836295987,0.005210043306286438,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
