model,feature_set,method_type,eval_protocol,auc,f1,recall,fnr,dp_diff,fnr_gap,worst_group_sensitivity,macro_avg_fnr,attack_auc,attack_advantage,primary_screening_score
DP-SGD MLP (ε=5.0) [adaptive],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8010046590008977,0.4567219152854512,0.6077045817187143,0.3922954182812856,0.0298794973925262,0.0287203178137477,0.5927945010666035,0.3928453400265226,,,0.19994916104008087
DP-SGD MLP (ε=10.0) [fixed],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8026939481771962,0.4573212765094684,0.6426943241395031,0.3573056758604969,0.0262074477568721,0.0440707176697127,0.6198151220668405,0.3581495190983031,,,0.2616656029685374
DP-SGD MLP (ε=10.0) [adaptive],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8023826910237393,0.4569105016389361,0.6275359015272396,0.3724640984727604,0.0310099519128924,0.0372435709139747,0.6082009954965631,0.3731772190464495,,,0.23502377645011363
VFAE,Without Sensitive Attributes + Proxy-Reduced Features,Fair Deep Representation,Holdout,0.8044625752508023,0.4349518161601186,0.8024846136311831,0.1975153863688169,0.0422913775333362,0.0231397402737966,0.790471675752548,0.1979584541105536,,,0.5925132216419944
ERM source-pooled,Without Sensitive Attributes + Proxy-Reduced Features,Transfer/Oracle,Source->Target Holdout,0.7714561056837027,0.5056094793898903,0.8879787469559443,0.1120212530440557,0.0148050636665055,0.0196430224149437,0.8748326639892905,0.1153458248032376,,,0.7594868391860529
IRM source-invariant,Without Sensitive Attributes + Proxy-Reduced Features,Invariant Learning,Source->Target Holdout,0.7543709384268061,0.5002264932375591,0.8556564091210981,0.1443435908789019,0.0132405113771444,0.0153528437268757,0.8453815261044176,0.1469420520321444,,,0.6984394740722732
Oracle target-trained,Without Sensitive Attributes + Proxy-Reduced Features,Transfer/Oracle,Source->Target Holdout,0.7714833643159884,0.5288700248258188,0.7310161611689174,0.2689838388310825,0.0113502514194269,0.0261418371689426,0.713520749665328,0.2734083317502007,,,0.4401124179151273
Oracle (train on target),Without Sensitive Attributes,Transfer/Oracle,Holdout,0.7718219746897016,0.4975573092822247,0.8795394154118689,0.1204605845881311,0.0277316468133297,0.0281201310241674,0.8606224627875507,,,,
Naive transfer,Without Sensitive Attributes,Transfer Learning,Holdout,0.7663155375968361,0.5091545503500269,0.837466784765279,0.1625332152347209,0.0249706149263547,0.0299472357802521,0.8173207036535859,,,,
IPS-weighted transfer,Without Sensitive Attributes,Transfer Learning,Holdout,0.7663155375968361,0.5091545503500269,0.837466784765279,0.1625332152347209,0.0249706149263547,0.0299472357802521,0.8173207036535859,,,,
MLP non-private,Without Sensitive Attributes + Proxy-Reduced Features,Privacy Attack,Holdout,0.5020419608614859,,,,,,,,0.5020419608614859,0.0020419608614858,
DP-SGD MLP ε=0.5,Without Sensitive Attributes + Proxy-Reduced Features,Privacy Attack,Holdout,0.502202628293668,,,,,,,,0.502202628293668,0.002202628293668,
DP-SGD MLP ε=1.0,Without Sensitive Attributes + Proxy-Reduced Features,Privacy Attack,Holdout,0.5019788381817364,,,,,,,,0.5019788381817364,0.0019788381817363,
DP-SGD MLP ε=3.0,Without Sensitive Attributes + Proxy-Reduced Features,Privacy Attack,Holdout,0.5021680348550307,,,,,,,,0.5021680348550307,0.0021680348550306,
DP-SGD MLP ε=5.0,Without Sensitive Attributes + Proxy-Reduced Features,Privacy Attack,Holdout,0.5021544890447707,,,,,,,,0.5021544890447707,0.0021544890447706,
DP-SGD MLP ε=10.0,Without Sensitive Attributes + Proxy-Reduced Features,Privacy Attack,Holdout,0.5021041316094347,,,,,,,,0.5021041316094347,0.0021041316094346,
