threshold,score,precision,recall,f1,fnr,dp_diff,fnr_gap,worst_group_sensitivity,macro_avg_fnr,method
0.24,1.1204822346427683,0.4051395939086294,0.7538370720188902,0.5270326042096575,0.24616292798110984,0.012194149297795609,0.015747447138758475,0.7432675044883303,0.24885877194229042,Oracle (train on target)
0.25,1.0916604950363518,0.4107084557623245,0.7426210153482881,0.5289047719150726,0.25737898465171194,0.012437619807475764,0.023110361608630253,0.7271095152603232,0.26133530393536175,Oracle (train on target)
0.26,1.086477103584808,0.4179054054054054,0.7302243211334121,0.5315857327030511,0.26977567886658793,0.00841196086293683,0.015340063065580944,0.7199281867145422,0.2724017817526674,Oracle (train on target)
0.27,1.0781176859999482,0.42331932773109243,0.7136953955135773,0.5314285714285715,0.2863046044864227,0.0054550900028709215,0.004088051804095605,0.7109515260323159,0.2870044480656362,Oracle (train on target)
0.28,1.0328194208511061,0.4263311451495259,0.6900826446280992,0.5270513976555455,0.3099173553719008,0.002928946581219616,0.006355507343176858,0.6858168761220825,0.311005370206329,Oracle (train on target)
0.29,1.0093829132396595,0.43127603180613405,0.6723730814639906,0.5254901960784314,0.32762691853600945,0.003817504434576291,0.0039806792576767,0.6710642040457344,0.32694545632542726,Oracle (train on target)
0.3,0.9762512045915802,0.4374508261211644,0.6564344746162928,0.5250236071765817,0.3435655253837072,0.008338134910039152,0.007045533854721786,0.651705565529623,0.34477166754301614,Oracle (train on target)
0.31,0.9093102407970303,0.44087350638648537,0.6316410861865407,0.5192914341179325,0.3683589138134593,0.01457364462759686,0.0209281725034699,0.6175942549371634,0.3719416588111017,Oracle (train on target)
0.32,0.8722276482482895,0.4495889225443531,0.6133412042502951,0.5188514357053683,0.38665879574970485,0.01739043781436489,0.02576151610035543,0.5960502692998204,0.39106897265000184,Oracle (train on target)
0.33,0.8180210808024728,0.45384265575261484,0.58913813459268,0.5127151297200103,0.41086186540731995,0.019778511190609083,0.032499143388140694,0.5673249551166966,0.41642547318923306,Oracle (train on target)
0.33999999999999997,0.7916648283877814,0.4610266159695818,0.5726092089728453,0.5107951553449184,0.4273907910271547,0.016818628888706777,0.031946490575690545,0.5511669658886894,0.4328597888234653,Oracle (train on target)
0.35,0.7628733839003801,0.46993987975951906,0.5537190082644629,0.50840108401084,0.44628099173553715,0.020060126630216668,0.030550647472245007,0.533213644524237,0.4515110317396405,Oracle (train on target)
0.36,0.7366352805384738,0.47896950578338593,0.5377804014167651,0.5066740823136818,0.4622195985832349,0.023724321298577544,0.03087750213560836,0.5170556552962298,0.467505593635966,Oracle (train on target)
0.37,0.681572969493865,0.4852531997774068,0.5147579693034239,0.49957032368948723,0.4852420306965761,0.030811247753510046,0.039374144375020736,0.4883303411131059,0.4919825866993837,Oracle (train on target)
0.38,0.6434785422239928,0.4946933962264151,0.4952774498229044,0.49498525073746313,0.5047225501770956,0.03234087769476138,0.042448473020279265,0.466786355475763,0.5119894080140974,Oracle (train on target)
0.39,0.6083060849023956,0.49906542056074765,0.47284533648170013,0.4856016974840861,0.5271546635182999,0.03023441975812466,0.038450424674211114,0.44703770197486536,0.533737085688029,Oracle (train on target)
0.4,0.5594684391032514,0.5049439683586026,0.45218417945690675,0.47710993459981316,0.5478158205430932,0.032614462622805235,0.04511541759236015,0.42190305206463197,0.555539239139188,Oracle (train on target)
0.41,0.5396117491454294,0.5162889518413598,0.43034238488783944,0.4694140373470702,0.5696576151121606,0.024956731056160114,0.03397235788532926,0.40754039497307004,0.5754734260842653,Oracle (train on target)
0.42,0.4997348681826786,0.5234493192133132,0.4085005903187721,0.4588859416445623,0.5914994096812278,0.023063629210839792,0.03352865662733362,0.3859964093357271,0.5972392623506061,Oracle (train on target)
0.43,0.46871824131959816,0.5234685759745425,0.3884297520661157,0.4459505252456794,0.6115702479338843,0.020734780857377566,0.027698958960002185,0.36983842010771995,0.6163121004122789,Oracle (train on target)
0.44,0.41215405520590565,0.5315471045808124,0.3630460448642267,0.431427569273939,0.6369539551357732,0.02311883897783998,0.032677571296160335,0.34111310592459604,0.6425481084273237,Oracle (train on target)
0.45,0.3462205187136701,0.5324427480916031,0.3293978748524203,0.40700218818380746,0.6706021251475798,0.022941620188560052,0.03069275819544648,0.3087971274685817,0.675856493433695,Oracle (train on target)
0.46,0.3040215017115725,0.5422680412371134,0.3105076741440378,0.3948948948948949,0.6894923258559622,0.021044503087457936,0.03464659431651851,0.2872531418312388,0.695423561010502,Oracle (train on target)
0.47,0.26816401807827656,0.5480662983425414,0.29279811097992914,0.3816852635629088,0.7072018890200709,0.021279943085574418,0.035009766164699974,0.26929982046678635,0.7131952964508637,Oracle (train on target)
0.48,0.21910431886016887,0.5506024096385542,0.26977567886658793,0.36212361331220283,0.7302243211334121,0.021946110522105544,0.035481889567336,0.2459605026929982,0.7362985525233339,Oracle (train on target)
0.49,0.16591486301125177,0.558047493403694,0.24970484061393153,0.3450244698205546,0.7502951593860685,0.02453449040837523,0.043026389961298483,0.22082585278276481,0.757660952236586,Oracle (train on target)
0.5,0.14208689230819083,0.5659025787965616,0.23317591499409682,0.3302675585284281,0.7668240850059032,0.021349206247811003,0.03712405792433082,0.20825852782764812,0.7731794432101865,Oracle (train on target)
0.51,0.10379920334229722,0.5720930232558139,0.21782762691853602,0.3155194527575887,0.782172373081464,0.01965741472646161,0.041005259675766514,0.19030520646319568,0.789192163698921,Oracle (train on target)
0.52,0.07766321446090774,0.5752961082910322,0.20070838252656434,0.2975929978118162,0.7992916174734357,0.018393339201690492,0.034223420162985185,0.17773788150807898,0.8051504084104284,Oracle (train on target)
0.53,0.06387644197103665,0.58,0.18831168831168832,0.28431372549019607,0.8116883116883117,0.01733860451245396,0.02645312161993596,0.17055655296229802,0.816216886227734,Oracle (train on target)
0.54,0.03525626465655121,0.5952380952380952,0.1770956316410862,0.272975432211101,0.8229043683589138,0.016499233542424732,0.03114119647754887,0.1561938958707361,0.8282355058904896,Oracle (train on target)
0.55,0.008876116290161662,0.6034858387799564,0.16351829988193625,0.2573153738968881,0.8364817001180638,0.013950002400027889,0.029636401819648883,0.1436265709156194,0.8415552281745562,Oracle (train on target)
0.56,-0.028819992154520302,0.6191646191646192,0.1487603305785124,0.2398857686815802,0.8512396694214877,0.013112639057889584,0.03439711104689813,0.12567324955116696,0.857128194925384,Oracle (train on target)
0.5700000000000001,-0.06123678255095441,0.6243093922651933,0.1334120425029516,0.2198443579766537,0.8665879574970484,0.013127696267071456,0.03292863357381626,0.11131059245960502,0.8722250907534868,Oracle (train on target)
0.5800000000000001,-0.06979552731564995,0.6231454005934718,0.12396694214876033,0.206794682422452,0.8760330578512396,0.010358082335739989,0.024206193185317137,0.10771992818671454,0.880176975220627,Oracle (train on target)
